"Indicator","PUBLISH STATES","Year","WHO region","Country","Display Value","Numeric","Low","High","Comments"
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Maldives","10","10.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Mauritius","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Mexico","62 [56-68]","62.00000","56.00000","68.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Morocco","57 [44-75]","57.00000","44.00000","75.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Morocco","20 000 [16 000-27 000]","20000.00000","16000.00000","27000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Nepal","31 000 [27 000-36 000]","31000.00000","27000.00000","36000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Netherlands","18 700","18700.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Niue","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Norway","90 [74->95]","90.00000","74.00000","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Panama","13 200","13200.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Papua New Guinea","55 [50-61]","55.00000","50.00000","61.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Papua New Guinea","48 000 [43 000-52 000]","48000.00000","43000.00000","52000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Portugal","90 [80->95]","90.00000","80.00000","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Portugal","40 000 [35 000-44 000]","40000.00000","35000.00000","44000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Russian Federation","1 000 000 [780 000-1 200 000]","1000000.00000","780000.00000","1200000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Rwanda","186 000","186000.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","San Marino","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Sao Tome and Principe","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Sierra Leone","39 [33-47]","39.00000","33.00000","47.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Sierra Leone","61 000 [51 000-73 000]","61000.00000","51000.00000","73000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Somalia","11 000 [10 000-12 000]","11000.00000","10000.00000","12000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","South Africa","4 359 000","4359000.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Suriname","2400","2400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Eswatini","85 [78-91]","85.00000","78.00000","91.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Tajikistan","4900","4900.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Thailand","72 [63-83]","72.00000","63.00000","83.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Thailand","440 000 [390 000-510 000]","440000.00000","390000.00000","510000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Trinidad and Tobago","62 [56-69]","62.00000","56.00000","69.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Trinidad and Tobago","11 000 [9600-12 000]","11000.00000","9600.00000","12000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Uganda","1 300 000 [1 300 000-1 400 000]","1300000.00000","1300000.00000","1400000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Ukraine","98 200","98200.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Uruguay","7200","7200.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Uzbekistan","29 [23-35]","29.00000","23.00000","35.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Zambia","75 [70-81]","75.00000","70.00000","81.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Zambia","1 100 000 [1 100 000-1 200 000]","1100000.00000","1100000.00000","1200000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Andorra","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Angola","78 700","78700.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Argentina","120 000 [110 000-130 000]","120000.00000","110000.00000","130000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Armenia","1500","1500.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Belarus","46 [34-63]","46.00000","34.00000","63.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Belarus","24 000 [18 000-33 000]","24000.00000","18000.00000","33000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Benin","55 [37-79]","55.00000","37.00000","79.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Benin","70 000 [46 000-99 000]","70000.00000","46000.00000","99000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Burkina Faso","61 400","61400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Burundi","77 [62-91]","77.00000","62.00000","91.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Cabo Verde","2400 [2000-2900]","2400.00000","2000.00000","2900.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Cambodia","58 500","58500.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Cameroon","49 [41-57]","49.00000","41.00000","57.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Comoros","<200 [<200-<500]","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Congo","29 100","29100.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Costa Rica","54 [48-60]","54.00000","48.00000","60.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Costa Rica","13 000 [11 000-14 000]","13000.00000","11000.00000","14000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Denmark","5400","5400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Djibouti","27 [19-38]","27.00000","19.00000","38.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Dominican Republic","35 000","35000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Ecuador","54 [37->95]","54.00000","37.00000","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Fiji","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Finland","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Gabon","56 000 [49 000-65 000]","56000.00000","49000.00000","65000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Gambia","6800","6800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Guinea-Bissau","30 [24-34]","30.00000","24.00000","34.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Guinea-Bissau","40 000 [32 000-45 000]","40000.00000","32000.00000","45000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Haiti","94 400","94400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Honduras","52 [41-63]","52.00000","41.00000","63.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Ireland","7200 [6500-8100]","7200.00000","6500.00000","8100.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Israel","5500","5500.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Jamaica","34 000 [28 000-39 000]","34000.00000","28000.00000","39000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Japan","22 900","22900.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Latvia","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Latvia","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Liberia","29 [23-36]","29.00000","23.00000","36.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Liberia","40 000 [32 000-50 000]","40000.00000","32000.00000","50000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Mali","42 100","42100.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Malta","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Marshall Islands","9000 [6400-13 000]","9000.00000","6400.00000","13000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Mauritania","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Mauritius","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Mozambique","54 [45-65]","54.00000","45.00000","65.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Mozambique","2 100 000 [1 800 000-2 500 000]","2100000.00000","1800000.00000","2500000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Myanmar","147 000","147000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Nauru","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Nauru","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Norway","4600","4600.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Oman","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Palau","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Panama","53 [48-58]","53.00000","48.00000","58.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Qatar","<500 [<500-<500]","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Republic of Korea","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Romania","16 000 [15 000-19 000]","16000.00000","15000.00000","19000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Russian Federation","361 000","361000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Saudi Arabia","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Saudi Arabia","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Serbia","1700","1700.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Seychelles","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","South Africa","7 200 000 [6 600 000-7 900 000]","7200000.00000","6600000.00000","7900000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","South Sudan","24 000","24000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Sri Lanka","3500 [3000-4200]","3500.00000","3000.00000","4200.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Sudan","7600","7600.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","The former Yugoslav republic of Macedonia","52 [46-61]","52.00000","46.00000","61.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","The former Yugoslav republic of Macedonia","<500 [<500-<500]","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Tonga","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Tonga","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","United Arab Emirates","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","United Republic of Tanzania","1 500 000 [1 300 000-1 600 000]","1500000.00000","1300000.00000","1600000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","United States of America","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Uruguay","57 [48-65]","57.00000","48.00000","65.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Zimbabwe","84 [74->95]","84.00000","74.00000","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Zimbabwe","1 300 000 [1 200 000-1 500 000]","1300000.00000","1200000.00000","1500000.00000",""
